# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4804 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,426.041,589.525,173.108,474021888,6.28,178.736,74.197,14201,1427.632,-1.000,0,55.47,4804.4,5996.4,5660.0,336.0,342.0,1309.8,262.7,9929.8,0.376,1,0.000,0.006,0.000,0.000,0.000
2,256,303.988,405.793,95.287,325988352,12.75,167.299,41.402,0,1000.299,0.820,0,0.00,4804.4,5945.6,5615.6,329.5,386.8,1357.8,250.7,9880.0,4.905,1,0.000,0.005,0.000,0.000,0.000
3,256,301.788,475.205,73.835,381689856,17.48,183.637,44.316,29,1027.387,0.820,0,0.11,4804.4,5937.8,5613.5,323.9,386.8,1372.4,269.2,9862.2,0.575,1,0.000,0.006,0.000,0.000,0.000
4,256,220.132,245.620,88.607,185364480,23.04,97.419,34.107,1,764.800,0.820,0,0.00,4804.4,5939.3,5615.0,323.9,386.8,1380.1,274.2,9848.2,0.605,1,0.000,0.005,0.000,0.000,0.000
5,256,265.988,325.304,81.422,250048512,27.22,153.590,30.976,1,879.939,0.820,0,0.00,4804.4,5932.4,5614.4,317.5,386.8,1391.4,291.4,9835.8,5.429,1,0.000,0.006,0.000,0.000,0.000
6,256,239.799,278.801,91.678,210247680,31.07,122.822,25.299,0,799.480,0.820,0,0.00,4804.4,5931.9,5613.9,317.5,386.8,1400.0,300.1,9824.5,0.583,1,0.000,0.006,0.000,0.000,0.000
7,256,220.526,211.620,100.303,148131840,34.81,97.623,22.600,29,706.422,0.820,0,0.11,4804.4,5929.4,5615.4,313.7,386.6,1407.0,314.8,9813.8,0.578,1,0.000,0.005,0.000,0.000,0.000
8,256,213.098,284.028,80.305,215187456,37.65,107.441,25.351,1,708.340,0.820,0,0.00,4804.4,5928.9,5614.8,313.7,386.6,1408.2,318.7,9802.5,0.517,1,0.000,0.005,0.000,0.000,0.000
9,256,178.012,308.387,86.977,247087104,39.96,47.887,43.149,0,644.999,0.820,0,0.00,4804.4,5928.0,5613.9,313.7,386.6,1410.7,320.0,9797.8,0.606,1,0.000,0.006,0.000,0.000,0.000
10,256,188.952,337.086,87.642,268713984,41.89,51.865,49.445,0,679.265,0.820,0,0.00,4804.4,5929.9,5615.8,313.7,386.6,1410.1,319.2,9793.5,0.620,1,0.000,0.008,0.000,0.000,0.000
11,256,150.239,220.259,83.883,169660416,44.13,38.553,27.803,28,533.361,0.820,0,0.11,4804.4,5929.0,5614.9,313.7,386.5,1413.7,322.8,9790.3,0.604,1,0.000,0.006,0.000,0.000,0.000
12,256,201.762,384.684,90.668,311571008,45.43,56.889,54.206,0,719.047,0.820,0,0.00,4804.4,5928.7,5614.6,313.7,386.5,1403.3,311.1,9800.2,0.558,1,0.000,0.008,0.000,0.000,0.000
13,256,169.941,279.688,86.897,219537408,47.04,44.271,38.773,0,617.233,0.820,0,0.00,4804.4,5929.6,5615.5,313.7,386.5,1409.4,314.0,9796.5,0.768,1,0.000,0.008,0.000,0.000,0.000
14,256,234.264,494.335,90.520,411918336,47.64,68.192,75.552,0,867.094,0.820,0,0.00,4804.4,5928.2,5614.2,313.7,386.5,1415.5,320.0,9790.5,0.733,1,0.000,0.008,0.000,0.000,0.000
15,256,147.633,216.016,82.172,166502400,49.24,38.624,26.836,28,516.342,0.820,0,0.11,4804.4,5930.2,5616.1,313.7,386.4,1415.4,320.0,9787.2,0.557,1,0.000,0.007,0.000,0.000,0.000
16,256,135.526,164.798,83.322,129073152,50.86,33.491,18.713,0,470.072,0.820,0,0.00,4804.4,5928.6,5614.6,313.7,386.4,1410.3,314.3,9794.2,0.733,1,0.000,0.005,0.000,0.000,0.000
17,256,150.780,196.955,88.059,152580096,52.25,37.240,25.480,2,529.317,0.820,0,0.01,4804.4,5929.2,5615.2,313.7,386.4,1410.1,312.8,9800.0,0.549,1,0.000,0.008,0.000,0.000,0.000
18,256,173.387,296.387,87.413,227930112,53.25,45.019,40.954,0,616.253,0.820,0,0.00,4804.4,5929.3,5615.3,313.7,386.4,1408.9,311.6,9800.0,0.623,1,0.000,0.010,0.000,0.000,0.000
19,256,135.003,172.709,82.027,131444736,54.53,32.491,20.484,27,478.986,0.820,0,0.11,4804.4,5930.2,5616.1,313.7,386.2,1408.7,311.4,9800.3,0.593,1,0.000,0.007,0.000,0.000,0.000
20,256,122.078,137.375,78.373,104288256,55.81,28.393,15.312,0,429.953,0.820,0,0.00,4804.4,5929.7,5615.6,313.7,386.2,1407.8,310.1,9800.5,0.593,1,0.000,0.005,0.000,0.000,0.000
21,256,118.806,129.188,75.631,101720064,57.01,28.178,14.998,1,418.672,0.820,0,0.00,4804.4,5930.0,5615.9,313.7,386.2,1407.6,309.0,9800.8,0.503,1,0.000,0.006,0.000,0.000,0.000
22,256,118.560,123.328,77.645,93917184,58.15,27.182,13.732,0,406.315,0.820,0,0.00,4804.4,5928.0,5613.9,313.7,386.2,1409.5,310.9,9800.8,0.524,1,0.000,0.006,0.000,0.000,0.000
23,256,123.322,138.323,77.193,106856448,59.18,30.021,16.108,27,432.369,0.820,0,0.11,4804.4,5929.4,5615.4,313.7,386.1,1408.1,309.5,9800.8,0.531,1,0.000,0.006,0.000,0.000,0.000
24,256,98.762,65.012,74.989,45723648,60.33,16.784,6.989,1,354.551,0.820,0,0.00,4804.4,5929.9,5615.8,313.7,386.1,1406.4,306.4,9801.5,0.562,1,0.000,0.005,0.000,0.000,0.000
25,256,118.607,126.000,77.137,96387072,61.26,28.378,13.093,0,413.826,0.820,0,0.00,4804.4,5930.1,5616.0,313.7,386.1,1406.4,306.4,9801.7,0.556,1,0.000,0.006,0.000,0.000,0.000
26,256,132.937,161.628,80.237,125718528,62.04,33.721,18.979,0,458.427,0.820,0,0.00,4804.4,5930.4,5616.3,313.7,386.1,1406.3,302.4,9801.9,0.522,1,0.000,0.005,0.000,0.000,0.000
27,256,116.784,100.648,80.342,72683520,62.94,25.240,11.203,28,415.752,0.820,0,0.11,4804.4,5929.6,5615.5,313.7,386.0,1402.6,298.0,9805.4,0.569,1,0.000,0.006,0.000,0.000,0.000
28,256,116.211,113.072,78.399,82857984,63.75,24.999,12.813,0,404.032,0.820,0,0.00,4804.4,5929.3,5615.2,313.7,386.0,1404.1,297.4,9806.2,0.500,1,0.000,0.006,0.000,0.000,0.000
29,256,100.453,70.362,74.781,48193536,64.61,17.775,7.897,0,354.233,0.820,0,0.00,4804.4,5929.2,5615.1,313.7,386.0,1403.2,296.5,9806.2,0.590,1,0.000,0.005,0.000,0.000,0.000
30,256,96.724,57.608,74.988,45821952,65.44,14.906,6.830,0,348.170,0.820,0,0.00,4804.4,5929.6,5615.6,313.7,386.0,1403.0,296.3,9806.2,0.499,1,0.000,0.005,0.000,0.000,0.000
31,256,100.525,69.121,74.991,53526528,66.20,16.806,8.729,28,372.152,0.820,0,0.11,4804.4,5929.2,5615.1,313.7,385.9,1395.9,287.9,9818.8,0.498,1,0.000,0.005,0.000,0.000,0.000
32,256,91.193,43.587,74.699,26861568,66.98,11.970,4.523,0,332.951,0.820,0,0.00,4804.4,5929.5,5615.4,313.7,385.9,1398.7,290.5,9818.8,0.498,1,0.000,0.005,0.000,0.000,0.000
33,256,203.363,389.563,91.451,307728384,67.06,56.149,55.763,0,725.344,0.820,0,0.00,4804.4,5928.5,5614.4,313.7,385.9,1399.6,291.5,9818.8,0.553,1,0.000,0.007,0.000,0.000,0.000
34,256,170.726,269.043,88.474,212324352,67.36,44.236,38.015,1,601.285,0.820,0,0.00,4804.4,5928.4,5614.3,313.7,385.9,1398.6,290.5,9818.8,0.872,1,0.000,0.007,0.000,0.000,0.000
35,256,205.316,404.002,90.940,323727360,67.38,55.577,58.799,29,750.878,0.820,0,0.11,4804.4,5928.9,5614.8,313.7,385.8,1397.6,289.5,9819.8,0.938,1,0.000,0.007,0.000,0.000,0.000
36,256,140.439,178.998,84.343,131739648,67.84,34.979,21.116,0,483.014,0.820,0,0.00,4804.4,5929.3,5615.2,313.7,385.8,1397.6,288.0,9820.0,0.646,1,0.000,0.007,0.000,0.000,0.000
37,256,119.978,125.660,78.804,91545600,68.36,26.650,14.524,1,417.209,0.820,0,0.00,4804.4,5929.3,5615.2,313.7,385.8,1396.8,287.1,9820.0,0.502,1,0.000,0.006,0.000,0.000,0.000
38,256,137.047,172.061,82.121,131837952,68.77,33.875,21.050,1,484.870,0.820,0,0.00,4804.4,5929.5,5615.4,313.7,385.8,1396.8,277.9,9820.8,0.580,1,0.000,0.006,0.000,0.000,0.000
39,256,120.922,121.155,79.286,94015488,69.25,27.245,14.391,29,419.421,0.820,0,0.11,4804.4,5929.9,5615.8,313.7,385.6,1389.0,243.3,9821.9,0.578,1,0.000,0.006,0.000,0.000,0.000
40,256,145.392,198.714,83.730,158109696,69.57,36.954,24.708,0,515.696,0.820,0,0.00,4804.4,5929.8,5615.7,313.7,385.6,1386.1,223.4,9823.6,0.538,1,0.000,0.007,0.000,0.000,0.000
41,256,129.200,155.158,78.500,123641856,69.95,32.111,18.588,1,446.481,0.820,0,0.00,4804.4,5929.1,5615.0,313.7,385.6,1386.2,219.2,9825.4,0.499,1,0.000,0.006,0.000,0.000,0.000
42,256,87.763,32.894,74.663,18763776,70.52,9.022,4.079,0,326.320,0.820,0,0.00,4804.4,5929.1,5615.0,313.7,385.6,1384.0,216.9,9825.6,0.555,1,0.000,0.005,0.000,0.000,0.000
43,256,123.191,133.128,79.599,104779776,70.90,28.775,14.817,29,430.815,0.820,0,0.11,4804.4,5930.0,5615.9,313.7,385.5,1383.1,213.6,9826.7,0.508,1,0.000,0.007,0.000,0.000,0.000
44,256,138.805,169.715,84.239,134111232,71.21,33.869,20.698,1,491.576,0.820,0,0.00,4804.4,5929.2,5615.1,313.7,385.5,1383.2,213.7,9826.9,0.522,1,0.000,0.006,0.000,0.000,0.000
45,256,115.784,110.402,77.326,83447808,71.61,25.377,13.082,2,402.561,0.820,0,0.01,4804.4,5929.8,5615.8,313.7,385.5,1384.1,210.4,9827.7,0.550,1,0.000,0.005,0.000,0.000,0.000
46,256,131.543,151.093,83.486,107741184,71.94,31.329,16.727,0,452.775,0.820,0,0.00,4804.4,5930.6,5616.5,313.7,385.5,1381.8,208.1,9828.3,0.532,1,0.000,0.006,0.000,0.000,0.000
47,256,144.380,186.114,85.101,142405632,72.20,36.173,23.106,28,508.720,0.820,0,0.11,4804.4,5931.1,5617.0,313.7,385.4,1381.5,207.8,9828.8,0.572,1,0.000,0.007,0.000,0.000,0.000
48,256,95.410,55.407,74.680,40390656,72.63,14.359,6.372,1,346.411,0.820,0,0.00,4804.4,5929.0,5614.9,313.7,385.4,1383.8,210.1,9827.8,0.580,1,0.000,0.004,0.000,0.000,0.000
49,256,128.991,110.608,88.187,86212608,72.97,29.303,11.501,0,453.648,0.820,0,0.00,4804.4,5931.2,5617.1,313.7,385.4,1378.7,203.5,9833.5,0.593,1,0.000,0.006,0.000,0.000,0.000
50,256,161.907,72.388,101.351,45723648,73.36,53.072,7.483,1,534.374,0.820,0,0.00,4804.4,5929.2,5615.1,313.7,385.2,1391.0,215.3,9846.5,4.143,1,0.000,0.004,0.000,0.000,0.000
51,256,127.732,125.826,81.102,83447808,73.68,34.147,12.483,28,430.590,0.820,0,0.11,4804.4,5929.9,5615.9,313.7,385.2,1389.2,213.2,9850.9,0.549,1,0.000,0.006,0.000,0.000,0.000
52,256,92.277,43.707,75.572,26861568,74.08,12.214,4.492,2,333.331,0.820,0,0.01,4804.4,5930.3,5616.2,313.7,385.2,1391.4,215.3,9848.4,0.580,1,0.000,0.004,0.000,0.000,0.000
53,256,101.791,51.647,75.473,34664448,74.45,20.229,6.089,1,361.109,0.820,0,0.00,4804.4,5930.2,5616.1,313.7,385.1,1397.9,221.1,9852.8,0.522,1,0.000,0.004,0.000,0.000,0.000
54,256,79.838,9.420,74.901,5332992,74.85,3.117,1.819,1,310.638,0.820,0,0.00,4804.4,5930.1,5616.0,313.7,385.1,1399.8,223.0,9851.4,0.541,1,0.000,0.004,0.000,0.000,0.000
55,256,113.986,97.281,77.464,69820416,75.15,25.893,10.629,29,392.146,0.820,0,0.11,4804.4,5929.8,5615.7,313.7,385.0,1401.5,224.9,9848.6,0.536,1,0.000,0.006,0.000,0.000,0.000
56,256,116.731,109.596,78.392,83251200,75.41,26.722,11.618,2,402.505,0.820,0,0.01,4804.4,5930.6,5616.5,313.7,385.0,1405.6,229.0,9844.9,0.623,1,0.000,0.005,0.000,0.000,0.000
57,256,111.304,85.170,79.537,62115840,75.70,23.099,8.668,1,388.442,0.820,0,0.00,4804.4,5931.3,5617.2,313.7,385.0,1407.5,230.4,9842.9,0.557,1,0.000,0.005,0.000,0.000,0.000
58,256,98.031,61.705,75.379,42762240,76.01,15.904,6.748,1,355.485,0.820,0,0.00,4804.4,5931.4,5617.3,313.7,385.0,1409.3,231.0,9841.4,0.522,1,0.000,0.004,0.000,0.000,0.000
59,256,141.410,181.803,83.941,139739136,76.16,36.976,20.493,28,481.027,0.820,0,0.11,4804.4,5929.8,5615.7,313.7,384.9,1411.8,233.5,9837.9,0.553,1,0.000,0.006,0.000,0.000,0.000
60,256,115.667,111.656,77.955,83054592,76.40,26.220,11.493,1,399.099,0.820,0,0.00,4804.4,5930.2,5616.1,313.7,384.9,1415.0,235.7,9834.7,0.665,1,0.000,0.005,0.000,0.000,0.000
61,256,152.217,154.176,85.969,119992320,76.57,48.582,17.666,0,494.218,0.820,0,0.00,4804.4,5929.3,5615.2,313.7,384.9,1409.1,204.4,9839.2,0.629,1,0.000,0.005,0.000,0.000,0.000
62,256,94.627,52.203,75.425,37429248,76.85,13.824,5.378,0,333.527,0.820,0,0.00,4804.4,5931.5,5617.4,313.7,384.9,1410.0,205.3,9835.9,0.641,1,0.000,0.005,0.000,0.000,0.000
63,256,168.147,270.099,86.065,214106112,76.89,45.783,36.298,28,591.740,0.820,0,0.11,4804.4,5930.4,5616.3,313.7,384.8,1415.2,210.3,9831.2,0.531,1,0.000,0.006,0.000,0.000,0.000
64,256,98.693,59.132,77.208,43155456,77.15,14.731,6.754,0,349.489,0.820,0,0.00,4804.4,5929.9,5615.8,313.7,384.8,1417.0,212.1,9828.7,0.665,1,0.000,0.006,0.000,0.000,0.000
65,256,92.979,46.870,75.831,32391168,77.42,11.905,5.243,0,351.730,0.820,0,0.00,4804.4,5930.3,5616.2,313.7,384.8,1416.8,210.2,9829.9,0.525,1,0.000,0.005,0.000,0.000,0.000
66,256,105.279,82.041,75.127,58662912,77.65,21.210,8.942,1,361.793,0.820,0,0.00,4804.4,5929.8,5615.7,313.7,384.8,1418.4,211.7,9830.2,0.501,1,0.000,0.005,0.000,0.000,0.000
67,256,108.520,88.247,77.304,69722112,77.86,21.899,9.318,94,378.784,0.820,0,0.37,4804.4,5929.6,5615.6,313.7,384.4,1418.6,211.4,9830.7,0.594,1,0.000,0.006,0.000,0.000,0.000
68,256,141.021,175.956,84.313,136679424,77.98,36.513,20.195,2,494.726,0.820,0,0.01,4804.4,5929.7,5615.6,313.7,384.4,1417.5,210.4,9831.2,0.555,1,0.000,0.006,0.000,0.000,0.000
69,256,179.335,304.638,88.777,239382528,77.96,46.202,44.356,0,652.413,0.820,0,0.00,4804.4,5929.6,5615.5,313.7,384.4,1418.5,211.3,9831.2,0.598,1,0.000,0.008,0.000,0.000,0.000
70,256,89.410,44.142,75.484,29626368,78.21,9.409,4.517,2,330.580,0.820,0,0.01,4804.4,5929.9,5615.8,313.7,384.4,1417.4,210.2,9831.2,0.546,1,0.000,0.005,0.000,0.000,0.000
71,256,132.005,159.415,80.475,126111744,78.33,33.884,17.646,95,456.022,0.820,0,0.37,4804.4,5932.2,5618.1,313.7,384.0,1414.8,207.6,9832.0,0.553,1,0.000,0.006,0.000,0.000,0.000
72,256,113.816,102.011,76.848,83054592,78.50,25.116,11.852,0,390.928,0.820,0,0.00,4804.4,5931.8,5617.7,313.7,384.0,1415.0,207.8,9833.5,0.642,1,0.000,0.005,0.000,0.000,0.000
73,256,131.404,158.459,80.082,126111744,78.62,34.072,17.249,0,455.928,0.820,0,0.00,4804.4,5932.0,5617.9,313.7,384.0,1414.0,206.8,9833.5,0.521,1,0.000,0.006,0.000,0.000,0.000
74,256,129.952,165.890,77.818,133914624,78.72,32.669,19.466,1,461.336,0.820,0,0.00,4804.4,5932.2,5618.1,313.7,384.0,1414.2,206.9,9833.8,0.502,1,0.000,0.005,0.000,0.000,0.000
75,256,110.816,98.002,77.157,69722112,78.89,23.861,9.797,96,372.716,0.820,0,0.38,4804.4,5931.9,5617.8,313.7,383.6,1413.3,206.0,9834.0,0.598,1,0.000,0.006,0.000,0.000,0.000
76,256,94.372,49.571,76.025,37822464,79.10,12.730,5.617,0,338.638,0.820,0,0.00,4804.4,5932.4,5618.3,313.7,383.6,1413.3,206.0,9834.0,0.567,1,0.000,0.005,0.000,0.000,0.000
77,256,100.074,63.959,75.946,45723648,79.30,16.416,7.711,1,357.320,0.820,0,0.00,4804.4,5932.7,5618.6,313.7,383.6,1412.9,205.6,9834.0,0.521,1,0.000,0.005,0.000,0.000,0.000
78,256,97.323,54.827,76.088,42762240,79.49,14.754,6.481,0,358.979,0.820,0,0.00,4804.4,5932.4,5618.3,313.7,383.6,1413.2,205.9,9834.0,0.551,1,0.000,0.005,0.000,0.000,0.000
79,256,86.818,26.835,75.795,18862080,79.71,6.911,4.111,97,333.559,0.820,0,0.38,4804.4,5932.8,5618.7,313.7,383.2,1413.8,206.5,9834.5,0.526,1,0.000,0.006,0.000,0.000,0.000
80,256,115.025,105.440,77.869,78114816,79.85,26.112,11.044,0,385.254,0.820,0,0.00,4804.4,5933.2,5619.1,313.7,383.2,1411.7,204.3,9834.8,0.498,1,0.000,0.005,0.000,0.000,0.000
81,256,231.337,483.047,91.660,388018176,79.65,69.677,70.000,2,815.874,0.820,0,0.01,4804.4,5932.7,5618.7,313.7,383.2,1412.6,205.2,9835.1,0.541,1,0.000,0.008,0.000,0.000,0.000
82,256,148.401,201.298,86.975,155934720,79.71,32.878,28.549,1,537.050,0.820,0,0.00,4804.4,5933.1,5619.0,313.7,383.2,1412.0,204.6,9835.3,0.900,1,0.000,0.008,0.000,0.000,0.000
83,256,114.354,103.946,79.328,75644928,79.86,24.592,10.433,95,400.955,0.820,0,0.37,4804.4,5931.6,5617.5,313.7,382.9,1413.8,204.9,9835.6,0.598,1,0.000,0.006,0.000,0.000,0.000
84,256,106.471,89.174,77.325,69820416,80.00,19.404,9.742,1,375.031,0.820,0,0.00,4804.4,5931.9,5617.8,313.7,382.9,1412.7,203.9,9835.6,0.600,1,0.000,0.006,0.000,0.000,0.000
85,256,100.264,65.922,75.633,48586752,80.17,16.826,7.805,1,356.444,0.820,0,0.00,4804.4,5931.7,5617.6,313.7,382.9,1415.0,201.8,9836.4,0.554,1,0.000,0.004,0.000,0.000,0.000
86,256,134.339,158.257,81.385,120778752,80.25,36.257,16.698,1,445.001,0.820,0,0.00,4804.4,5933.5,5619.5,313.7,382.9,1412.6,199.4,9836.4,0.519,1,0.000,0.006,0.000,0.000,0.000
87,256,103.966,78.841,76.751,56487936,80.40,18.110,9.105,93,371.446,0.820,0,0.36,4804.4,5933.9,5619.8,313.7,382.5,1408.3,195.1,9838.7,0.564,1,0.000,0.006,0.000,0.000,0.000
88,256,121.625,116.041,82.195,83349504,80.52,26.602,12.828,0,429.716,0.820,0,0.00,4804.4,5931.5,5617.4,313.7,382.5,1412.9,199.5,9838.7,0.522,1,0.000,0.006,0.000,0.000,0.000
89,256,126.282,149.931,77.367,120680448,80.60,33.389,15.526,1,435.221,0.820,0,0.00,4804.4,5933.8,5619.7,313.7,382.5,1406.1,190.9,9843.1,0.518,1,0.000,0.005,0.000,0.000,0.000
90,256,170.104,224.485,85.675,174403584,80.63,57.715,26.714,2,570.335,0.820,0,0.01,4804.4,5932.5,5619.6,312.4,382.4,1425.6,196.2,9840.8,0.598,1,0.000,0.005,0.000,0.000,0.000
91,256,225.563,202.993,89.057,148033536,80.68,114.897,21.610,95,746.932,0.820,0,0.37,4804.4,5931.8,5620.1,311.3,382.0,1443.7,214.9,9827.5,0.570,1,0.000,0.005,0.000,0.000,0.000
92,256,223.340,194.254,82.365,139640832,80.74,123.737,17.238,0,709.331,0.820,0,0.00,4804.4,5927.1,5618.1,308.5,382.0,1463.3,239.3,9812.1,3.566,1,0.000,0.006,0.000,0.000,0.000
93,256,203.541,168.406,106.193,118308864,80.82,78.051,19.297,1,646.034,0.820,0,0.00,4804.4,5926.4,5618.3,307.7,382.0,1477.6,257.4,9804.1,0.509,1,0.000,0.005,0.000,0.000,0.000
94,256,255.382,265.652,89.020,198402048,80.82,142.768,23.594,1,828.094,0.820,0,0.00,4804.4,5923.0,5619.8,302.8,382.0,1491.2,276.2,9785.1,0.581,1,0.000,0.006,0.000,0.000,0.000
95,256,223.543,205.942,82.640,150503424,80.86,118.199,22.704,89,721.185,0.820,0,0.35,4804.4,5921.2,5618.0,302.8,382.4,1504.0,288.8,9772.4,0.513,1,0.000,0.006,0.000,0.000,0.000
96,256,215.372,171.850,98.152,123641856,80.93,97.951,19.269,1,679.894,0.820,0,0.00,4804.4,5922.0,5618.8,302.8,382.5,1503.3,292.7,9767.9,0.574,1,0.000,0.005,0.000,0.000,0.000
97,256,255.426,95.769,179.133,67252224,81.05,66.935,9.358,1,793.917,0.820,0,0.00,4804.4,5915.2,5618.1,296.7,382.5,1503.2,283.4,9778.3,0.567,1,0.000,0.005,0.000,0.000,0.000
98,256,195.482,119.422,103.448,80191488,81.16,77.118,14.916,1,620.737,0.820,0,0.00,4804.4,5915.4,5618.4,296.7,382.5,1510.1,294.9,9766.8,0.567,1,0.000,0.006,0.000,0.000,0.000
99,256,210.883,149.351,129.439,107151360,81.23,64.063,17.381,92,671.403,0.820,0,0.36,4804.4,5909.5,5618.2,290.9,382.2,1518.5,313.6,9757.1,0.540,1,0.000,0.005,0.000,0.000,0.000
100,256,293.542,508.755,90.054,407076864,81.04,138.597,64.891,2,1013.481,0.820,0,0.01,4804.4,5911.1,5619.8,290.9,382.2,1515.7,316.0,9742.1,0.534,1,0.000,0.006,0.000,0.000,0.000
101,256,165.729,261.717,87.170,204619776,81.03,42.391,36.168,1,602.222,0.820,0,0.00,4804.4,5909.4,5618.1,290.9,382.2,1521.3,321.6,9737.6,0.917,1,0.000,0.007,0.000,0.000,0.000
102,256,171.938,280.730,88.790,219832320,81.01,46.195,36.954,2,608.035,0.820,0,0.01,4804.4,5909.3,5618.0,290.9,382.2,1524.6,324.7,9732.8,0.798,1,0.000,0.007,0.000,0.000,0.000
103,256,155.084,226.070,86.567,177463296,81.03,38.653,29.864,94,552.568,0.820,0,0.37,4804.4,5910.7,5619.4,290.9,381.9,1525.1,325.3,9728.3,0.696,1,0.000,0.007,0.000,0.000,0.000
104,256,110.701,96.455,77.864,69820416,81.14,22.691,10.146,1,389.924,0.820,0,0.00,4804.4,5911.2,5619.9,290.9,381.9,1528.1,328.2,9724.8,0.571,1,0.000,0.005,0.000,0.000,0.000
105,256,99.043,59.860,77.784,40292352,81.27,15.120,6.139,1,347.257,0.820,0,0.00,4804.4,5911.5,5620.2,290.9,381.9,1528.3,328.5,9721.8,0.524,1,0.000,0.005,0.000,0.000,0.000
106,256,251.635,544.885,94.162,437391360,81.06,75.228,82.245,0,900.043,0.820,0,0.00,4804.4,5912.0,5620.7,290.9,381.9,1534.2,334.3,9714.8,0.574,1,0.000,0.008,0.000,0.000,0.000
107,256,212.482,420.248,90.522,326590464,80.95,67.498,54.461,93,741.248,0.820,0,0.36,4804.4,5910.9,5619.6,290.9,381.5,1535.5,328.3,9714.3,0.807,1,0.000,0.008,0.000,0.000,0.000
108,256,227.436,462.601,94.132,377155584,80.80,65.359,67.944,0,837.360,0.820,0,0.00,4804.4,5911.3,5620.0,290.9,381.5,1532.0,322.4,9715.1,0.792,1,0.000,0.008,0.000,0.000,0.000
109,256,195.202,360.564,92.421,287281152,80.72,50.306,52.476,0,726.050,0.820,0,0.00,4804.4,5911.1,5619.8,290.9,381.5,1532.7,323.0,9715.7,0.867,1,0.000,0.009,0.000,0.000,0.000
110,256,126.177,119.116,86.819,83546112,80.82,24.480,14.879,0,451.883,0.820,0,0.00,4804.4,5911.2,5619.8,290.9,381.5,1533.8,324.0,9715.7,0.716,1,0.000,0.007,0.000,0.000,0.000
111,256,151.075,206.600,85.540,161759232,80.85,40.540,24.994,92,513.295,0.820,0,0.36,4804.4,5912.4,5621.1,290.9,381.1,1530.2,320.4,9716.7,0.582,1,0.000,0.007,0.000,0.000,0.000
112,256,120.587,128.761,79.948,99250176,80.93,25.868,14.770,1,425.959,0.820,0,0.00,4804.4,5910.4,5619.0,290.9,381.1,1532.0,322.2,9716.7,0.662,1,0.000,0.005,0.000,0.000,0.000
113,256,150.346,211.849,86.833,161267712,80.96,39.170,24.343,0,530.227,0.820,0,0.00,4804.4,5910.2,5618.9,290.9,381.1,1532.0,322.2,9716.7,0.500,1,0.000,0.006,0.000,0.000,0.000
114,256,112.790,91.884,79.141,67448832,81.06,22.325,11.325,0,392.403,0.820,0,0.00,4804.4,5910.1,5618.7,290.9,381.1,1531.0,321.2,9717.0,0.653,1,0.000,0.005,0.000,0.000,0.000
115,256,121.730,137.756,78.158,104681472,81.13,29.631,13.941,95,415.249,0.820,0,0.37,4804.4,5912.5,5621.1,290.9,380.8,1528.5,318.7,9717.5,0.501,1,0.000,0.005,0.000,0.000,0.000
